Unnamed: 0,trade_id,asset,dt_enter,dt_exit,success,n,rtn,predict_success
0,1,AAPL.O,2020-03-03,2020-03-04,1.0,2.0,0.498%,
1,2,AAPL.O,2020-03-04,2020-03-13,-1.0,8.0,-0.375%,
2,3,AAPL.O,2020-03-05,2020-03-12,-1.0,6.0,-3.141%,
3,4,AAPL.O,2020-03-06,2020-03-13,-1.0,6.0,-0.706%,
4,5,AAPL.O,2020-03-09,2020-03-16,-1.0,6.0,-2.778%,
5,6,AAPL.O,2020-03-10,2020-03-13,1.0,4.0,0.249%,-1.0
6,7,AAPL.O,2020-03-11,2020-03-18,-1.0,6.0,-2.260%,1.0
7,8,AAPL.O,2020-03-12,2020-03-13,1.0,2.0,0.498%,-1.0
8,9,AAPL.O,2020-03-13,2020-03-17,1.0,3.0,0.332%,1.0
9,10,AAPL.O,2020-03-16,2020-03-23,-1.0,6.0,-3.403%,1.0
10,11,AAPL.O,2020-03-17,2020-03-17,1.0,1.0,0.996%,-1.0
11,12,AAPL.O,2020-03-18,2020-03-19,1.0,2.0,0.497%,1.0
12,13,AAPL.O,2020-03-19,2020-03-20,1.0,2.0,0.497%,1.0
13,14,AAPL.O,2020-03-20,2020-03-24,1.0,3.0,0.331%,1.0
14,15,AAPL.O,2020-03-23,2020-03-24,1.0,2.0,0.498%,-1.0
15,16,AAPL.O,2020-03-24,,0.0,3.0,,
16,17,AAPL.O,2020-03-25,2020-03-26,1.0,2.0,0.497%,0.0
17,18,AAPL.O,2020-03-26,,0.0,3.0,,1.0
18,19,AAPL.O,2020-03-27,2020-03-31,1.0,3.0,0.332%,0.0
19,20,AAPL.O,2020-03-30,2020-04-06,1.0,6.0,0.166%,0.0
20,21,AAPL.O,2020-03-31,2020-04-06,1.0,5.0,0.199%,1.0
21,22,AAPL.O,2020-04-01,2020-04-06,1.0,4.0,0.249%,1.0
22,23,AAPL.O,2020-04-02,2020-04-02,1.0,1.0,0.993%,0.0
23,24,AAPL.O,2020-04-03,2020-04-06,1.0,2.0,0.497%,
24,25,AAPL.O,2020-04-06,,0.0,3.0,,
25,26,AAPL.O,2020-04-07,2020-04-08,1.0,2.0,0.498%,0.0
26,27,AAPL.O,2020-04-08,,0.0,4.0,,1.0
27,28,AAPL.O,2020-04-09,,0.0,4.0,,0.0
28,29,AAPL.O,2020-04-13,,0.0,3.0,,
29,30,AAPL.O,2020-04-14,,0.0,3.0,,0.0
30,31,AAPL.O,2020-04-15,2020-04-16,1.0,2.0,0.497%,0.0
31,32,AAPL.O,2020-04-16,2020-04-24,-1.0,7.0,0.070%,1.0
32,33,AAPL.O,2020-04-17,2020-04-24,-1.0,6.0,-0.050%,-1.0
33,34,AAPL.O,2020-04-20,2020-04-24,1.0,5.0,0.199%,1.0
34,35,AAPL.O,2020-04-21,2020-04-22,1.0,2.0,0.497%,1.0
35,36,AAPL.O,2020-04-22,,0.0,3.0,,-1.0
36,37,AAPL.O,2020-04-23,,0.0,3.0,,0.0
37,38,AAPL.O,2020-04-24,,0.0,3.0,,0.0
38,39,AAPL.O,2020-04-27,2020-04-27,1.0,1.0,0.995%,0.0
39,40,AAPL.O,2020-04-28,2020-04-29,1.0,2.0,0.497%,1.0
40,41,AAPL.O,2020-04-29,,0.0,3.0,,1.0
41,42,AAPL.O,2020-04-30,,0.0,3.0,,0.0
42,43,AAPL.O,2020-05-01,2020-05-05,1.0,3.0,0.332%,0.0
43,44,AAPL.O,2020-05-04,,0.0,3.0,,1.0
44,45,AAPL.O,2020-05-05,,0.0,3.0,,0.0
45,46,AAPL.O,2020-05-06,,0.0,3.0,,0.0
46,47,AAPL.O,2020-05-07,,0.0,3.0,,0.0
47,48,AAPL.O,2020-05-08,,0.0,3.0,,0.0
48,49,AAPL.O,2020-05-11,2020-05-18,1.0,6.0,0.166%,
49,50,AAPL.O,2020-05-12,2020-05-13,1.0,2.0,0.498%,1.0
50,51,AAPL.O,2020-05-13,2020-05-18,1.0,4.0,0.249%,0.0
51,52,AAPL.O,2020-05-14,2020-05-14,1.0,1.0,0.996%,1.0
52,53,AAPL.O,2020-05-15,2020-05-18,1.0,2.0,0.497%,1.0
53,54,AAPL.O,2020-05-18,,0.0,3.0,,
54,55,AAPL.O,2020-05-19,,0.0,3.0,,0.0
55,56,AAPL.O,2020-05-20,,0.0,3.0,,0.0
56,57,AAPL.O,2020-05-21,2020-05-22,1.0,2.0,0.497%,0.0
57,58,AAPL.O,2020-05-22,2020-05-27,1.0,4.0,0.249%,1.0
58,59,AAPL.O,2020-05-26,2020-05-28,1.0,3.0,0.332%,
59,60,AAPL.O,2020-05-27,2020-05-27,1.0,1.0,0.996%,1.0
60,61,AAPL.O,2020-05-28,,0.0,3.0,,1.0
61,62,AAPL.O,2020-05-29,,0.0,3.0,,1.0
62,63,AAPL.O,2020-06-01,,0.0,3.0,,0.0
63,64,AAPL.O,2020-06-02,,0.0,3.0,,1.0
64,65,AAPL.O,2020-06-03,,0.0,3.0,,0.0
65,66,AAPL.O,2020-06-04,2020-06-05,1.0,2.0,0.498%,
66,67,AAPL.O,2020-06-05,,0.0,3.0,,1.0
67,68,AAPL.O,2020-06-08,2020-06-08,1.0,1.0,0.994%,0.0
68,69,AAPL.O,2020-06-09,,0.0,3.0,,1.0
69,70,AAPL.O,2020-06-10,2020-06-12,1.0,3.0,0.332%,1.0
70,71,AAPL.O,2020-06-11,2020-06-16,1.0,4.0,0.249%,1.0
71,72,AAPL.O,2020-06-12,,0.0,3.0,,1.0
72,73,AAPL.O,2020-06-15,2020-06-15,1.0,1.0,0.994%,1.0
73,74,AAPL.O,2020-06-16,,0.0,3.0,,0.0
74,75,AAPL.O,2020-06-17,2020-06-22,1.0,4.0,0.249%,1.0
75,76,AAPL.O,2020-06-18,2020-06-22,1.0,3.0,0.332%,1.0
